epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
187,1869.6,0.61588,0.50947,0.82086,0.16275,1,0.21791,0.12771,1.70053,4.93666,0.91199,0.000132193,0.000132193,0.000132193
188,1881.32,0.64782,0.49448,0.82976,0.16275,1,0.21516,0.1262,1.70061,4.95024,0.91216,0.000123941,0.000123941,0.000123941
189,1893.37,0.70867,0.52758,0.83513,0.16111,1,0.2115,0.12451,1.7072,4.96431,0.9139,0.00011569,0.00011569,0.00011569
190,1905.74,0.63768,0.5077,0.84794,0.16111,1,0.2115,0.12451,1.72328,4.97198,0.91836,0.000107438,0.000107438,0.000107438
191,1917.68,0.68004,0.52295,0.84126,0.15132,1,0.20835,0.12181,1.73067,5.0385,0.92254,9.91865e-05,9.91865e-05,9.91865e-05
192,1929.47,0.63086,0.49562,0.83561,0.15,1,0.19721,0.115,1.74266,5.07662,0.92694,9.09349e-05,9.09349e-05,9.09349e-05
193,1941.59,0.5466,0.52713,0.81667,0.14881,1,0.19189,0.11234,1.74827,5.08217,0.92954,8.26832e-05,8.26832e-05,8.26832e-05
194,1954.35,0.58465,0.5419,0.80422,0.14881,1,0.19189,0.11234,1.75488,5.07357,0.93102,7.44316e-05,7.44316e-05,7.44316e-05
195,1966.77,0.70185,0.53283,0.83291,0.14881,1,0.19189,0.11234,1.75824,5.03455,0.93183,6.61799e-05,6.61799e-05,6.61799e-05
196,1978.5,0.77675,0.54688,0.80702,0.14881,1,0.20597,0.12053,1.75992,5.0159,0.93144,5.79283e-05,5.79283e-05,5.79283e-05
197,1990.67,0.61513,0.48143,0.80738,0.14773,1,0.18467,0.11582,1.75674,5.00082,0.92955,4.96766e-05,4.96766e-05,4.96766e-05
198,2002.94,0.57936,0.52873,0.80146,0.14773,1,0.1921,0.12157,1.75611,4.968,0.92882,4.1425e-05,4.1425e-05,4.1425e-05
199,2014.97,0.60598,0.50307,0.84338,0.14773,1,0.1921,0.11764,1.75085,4.95114,0.92796,3.31733e-05,3.31733e-05,3.31733e-05
200,2027.73,0.67131,0.57148,0.83886,0.14037,1,0.18242,0.11049,1.74735,4.97014,0.92669,2.49217e-05,2.49217e-05,2.49217e-05
