epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,414.888,1.23294,1.40511,0.90415,0.00348,1,0.16785,0.0474,2.01335,4.62209,1.0058,0.00132043,0.00132043,0.00132043
44,425.302,0.95944,3.46392,0.69546,0.24571,0.12285,0.2317,0.06554,1.98076,4.46425,1.05078,0.00131218,0.00131218,0.00131218
45,435.561,1.11274,1.32186,0.96865,0.24524,0.12262,0.24875,0.07012,2.02987,4.63885,1.08077,0.00130393,0.00130393,0.00130393
46,445.879,1.13173,1.18379,0.9249,0.0034,1,0.21079,0.06063,2.06078,4.94619,1.07292,0.00129568,0.00129568,0.00129568
47,456.112,1.18121,1.24518,0.92649,0.00339,1,0.2126,0.09359,2.02277,4.35033,1.05599,0.00128742,0.00128742,0.00128742
48,466.413,1.2581,1.19194,0.93999,0.00353,1,0.22241,0.08582,2.17824,4.16225,1.0271,0.00127917,0.00127917,0.00127917
49,476.755,1.22532,1.2066,0.88601,0.11552,0.125,0.25031,0.10142,2.06816,3.90394,1.0164,0.00127092,0.00127092,0.00127092
50,487.1,1.30777,1.24374,0.98684,0.15724,0.23233,0.25104,0.11864,1.80855,3.48237,0.96797,0.00126267,0.00126267,0.00126267
51,497.582,1.18792,1.22997,0.90659,0.18153,0.28903,0.24983,0.11965,1.78938,3.29622,0.9618,0.00125442,0.00125442,0.00125442
52,508.038,1.15811,1.12987,0.92459,0.22347,0.25,0.2864,0.1149,1.85553,3.34165,0.96405,0.00124617,0.00124617,0.00124617
53,518.373,1.22839,1.13287,0.90591,0.00348,1,0.31047,0.12277,1.82,3.61213,0.94709,0.00123791,0.00123791,0.00123791
54,528.942,1.03115,1.06848,0.89186,0.15162,0.16937,0.27984,0.14097,1.73903,3.79012,0.96967,0.00122966,0.00122966,0.00122966
55,539.489,1.14668,1.01885,0.91163,0.12616,0.125,0.23217,0.118,1.79356,3.72559,1.01661,0.00122141,0.00122141,0.00122141
56,549.785,1.16837,1.08792,0.9126,0.1305,0.125,0.25428,0.12714,1.82349,3.61322,1.01272,0.00121316,0.00121316,0.00121316
57,560.246,1.15718,1.06101,0.92272,0.14626,0.10969,0.22802,0.09015,1.89524,3.77432,1.04016,0.00120491,0.00120491,0.00120491
58,570.791,1.1035,1.13807,0.91511,0.13823,0.10367,0.2833,0.11449,1.87493,3.89688,1.02129,0.00119666,0.00119666,0.00119666
59,581.167,1.03005,1.02274,0.88611,0.2972,0.72877,0.38142,0.15755,1.83061,3.98318,1.0266,0.0011884,0.0011884,0.0011884
60,591.413,1.25176,1.03424,0.88922,0.21809,0.125,0.39385,0.12005,1.78015,4.07031,1.0559,0.00118015,0.00118015,0.00118015
61,600.824,1.05237,1.01218,0.89143,0.24103,0.12052,0.33956,0.1031,1.83138,4.3025,1.0593,0.0011719,0.0011719,0.0011719
62,609.944,1.09576,0.96007,0.88396,0.00376,1,0.22185,0.06645,1.87961,4.78666,1.01227,0.00116365,0.00116365,0.00116365
63,619.295,1.17214,0.99341,0.93763,0.07006,0.5,0.16207,0.06342,1.86434,4.88125,0.98188,0.0011554,0.0011554,0.0011554
64,628.576,1.12243,1.0215,0.88748,0.08023,0.5,0.15551,0.06995,1.75097,4.81406,0.96804,0.00114715,0.00114715,0.00114715
65,637.732,1.14336,1.05451,0.93246,0.08081,0.5,0.15276,0.06674,1.68863,4.84405,0.97079,0.00113889,0.00113889,0.00113889
66,646.702,1.12863,0.97048,0.92956,0.04673,0.5,0.17173,0.06938,2.03981,5.06237,1.01283,0.00113064,0.00113064,0.00113064
67,655.957,1.17248,1.0109,0.9449,0.00448,1,0.20283,0.07771,2.02679,4.88191,1.01372,0.00112239,0.00112239,0.00112239
68,665.105,1.19835,1.02941,0.89846,0.06046,0.4232,0.28071,0.12853,1.69434,4.49474,0.98292,0.00111414,0.00111414,0.00111414
69,674.213,1.08218,0.94122,0.89904,0.00397,1,0.38694,0.21195,1.79498,4.28929,1.0002,0.00110589,0.00110589,0.00110589
70,683.473,1.07024,0.93908,0.92328,0.00388,1,0.39385,0.22801,1.91645,4.43987,1.01097,0.00109764,0.00109764,0.00109764
71,692.66,1.05663,0.92121,0.90147,0.00393,1,0.38142,0.21723,1.83051,4.43707,0.97495,0.00108938,0.00108938,0.00108938
72,701.65,1.05696,0.94284,0.90853,0.00392,1,0.37312,0.21784,1.79006,4.23515,0.97651,0.00108113,0.00108113,0.00108113
73,710.664,1.0888,0.92627,0.90599,0.00378,1,0.32255,0.16745,1.85826,3.98124,1.04516,0.00107288,0.00107288,0.00107288
74,719.749,1.20358,1.03056,0.92287,0.00386,1,0.32255,0.15533,1.95303,3.95034,1.11281,0.00106463,0.00106463,0.00106463
75,728.774,1.19255,0.94051,0.88522,0.00421,1,0.31538,0.1361,1.96281,4.30659,1.10034,0.00105638,0.00105638,0.00105638
76,737.86,0.96309,0.86894,0.90963,0.00446,1,0.27363,0.12066,2.01712,4.78504,1.03406,0.00104813,0.00104813,0.00104813
77,746.927,1.04042,0.85803,0.89851,0.00464,1,0.26668,0.11031,2.0837,4.98497,1.03805,0.00103987,0.00103987,0.00103987
78,755.971,0.99705,0.85172,0.86426,0.00489,1,0.27493,0.11626,1.98099,4.77025,1.08574,0.00103162,0.00103162,0.00103162
79,765.047,0.93602,0.88395,0.89992,0.24005,0.12002,0.29719,0.13078,1.95138,4.49283,1.14093,0.00102337,0.00102337,0.00102337
80,774.223,1.05635,0.84658,0.84617,0.00636,1,0.24722,0.10824,2.02731,4.38727,1.17627,0.00101512,0.00101512,0.00101512
81,783.271,1.01055,0.85974,0.8779,0.00702,1,0.22741,0.07623,2.13162,4.25898,1.18497,0.00100687,0.00100687,0.00100687
82,792.34,0.82165,0.79499,0.89406,0.00693,1,0.26171,0.0788,2.14134,4.12328,1.17091,0.000998616,0.000998616,0.000998616
83,801.444,0.97112,0.79475,0.84085,0.0072,1,0.27244,0.09646,1.99866,3.98023,1.12019,0.000990365,0.000990365,0.000990365
84,810.62,0.86459,0.8191,0.86743,0.24274,0.12137,0.36276,0.15949,1.96251,3.72022,1.07908,0.000982113,0.000982113,0.000982113
85,819.591,0.91986,0.75549,0.8605,0.24109,0.12055,0.39587,0.17452,1.95679,3.62781,1.04354,0.000973861,0.000973861,0.000973861
86,828.794,0.87552,0.78642,0.87662,0.2489,0.12445,0.43627,0.205,1.82926,3.51927,1.00344,0.00096561,0.00096561,0.00096561
